,LABEL,DATE_TIME,TEXT,sentence_count,token_count,tokens,words_starting_with_vowel,words_starting_with_consonant,UserNames,UserNamesCounts,URLs,URLCounts,Day
10,0,Mon Jun 22 13:51:56 2009,Minecart ride now. Sarah's still too afraid to ride anything fun with me. ,3,15,"['Minecart', 'ride', 'now', '.', ""Sarah's"", 'still', 'too', 'afraid', 'to', 'ride', 'anything', 'fun', 'with', 'me', '.']",2,10,[],0,[],0,Mon
11,1,Fri May 22 03:27:18 2009,@tb78 Cheers for follow! ,1,5,"['@tb78', 'Cheers', 'for', 'follow', '!']",0,3,['@tb78'],1,[],0,Fri
12,0,Fri May 22 00:37:02 2009,@sokendrakouture yea alone ,1,3,"['@sokendrakouture', 'yea', 'alone']",1,1,['@sokendrakouture'],1,[],0,Fri
13,1,Mon Jun 15 00:04:06 2009,Good morning! We are blessed with another day to share our light and love with others! ,2,18,"['Good', 'morning', '!', 'We', 'are', 'blessed', 'with', 'another', 'day', 'to', 'share', 'our', 'light', 'and', 'love', 'with', 'others', '!']",5,10,[],0,[],0,Mon
14,1,Sun Apr 19 10:25:32 2009,@RealDeal32 NO! ,1,3,"['@RealDeal32', 'NO', '!']",0,1,['@RealDeal32'],1,[],0,Sun
15,1,Sat Apr 18 14:29:38 2009,"@yoginifoodie WEll, thanks, lol- want some?  ",1,7,"['@yoginifoodie', 'WEll,', 'thanks,', 'lol-', 'want', 'some', '?']",0,5,['@yoginifoodie'],1,[],0,Sat
16,1,Sun May 31 15:03:49 2009,@mileycyrus i'll play against you and pwn you. yeeee. btw i voted for you ,1,16,"['@mileycyrus', ""i'll"", 'play', 'against', 'you', 'and', 'pwn', 'you', '.', 'yeeee', '.', 'btw', 'i', 'voted', 'for', 'you']",4,9,['@mileycyrus'],1,[],0,Sun
17,1,Sat May 30 20:40:57 2009,just got out the hot tub....about to go get a movie and ice cream with mt lil sis and call it a night!!!  nothing like some sis time!!! ,2,32,"['just', 'got', 'out', 'the', 'hot', 'tub', '....', 'about', 'to', 'go', 'get', 'a', 'movie', 'and', 'ice', 'cream', 'with', 'mt', 'lil', 'sis', 'and', 'call', 'it', 'a', 'night', '!!!', 'nothing', 'like', 'some', 'sis', 'time', '!!!']",8,20,[],0,[],0,Sat
18,0,Thu May 21 23:50:48 2009,@flyingbolt  Not as good without you! ,1,7,"['@flyingbolt', 'Not', 'as', 'good', 'without', 'you', '!']",1,4,['@flyingbolt'],1,[],0,Thu
19,0,Mon Apr 20 05:54:03 2009,"LOL HELP ME, I'm obsessed with Hannah Montana ",1,8,"['LOL', 'HELP', 'ME,', ""I'm"", 'obsessed', 'with', 'Hannah', 'Montana']",2,5,[],0,[],0,Mon
20,0,Wed Jun 24 21:57:44 2009,I hate when people have to move away from me ,1,10,"['I', 'hate', 'when', 'people', 'have', 'to', 'move', 'away', 'from', 'me']",2,8,[],0,[],0,Wed
21,0,Sat Jun 20 10:30:52 2009,http://bit.ly/AEbs3   I can only be sad.  #iranelection,1,8,"['http://bit.ly/AEbs3', 'I', 'can', 'only', 'be', 'sad', '.', '#iranelection']",4,3,[],0,['http://bit.ly/AEbs3'],1,Sat
22,1,Wed Jun 03 02:49:07 2009,@SCTunstall woah.  I'm glad I cut and ran after two West Wing episodes ,3,14,"['@SCTunstall', 'woah', '.', ""I'm"", 'glad', 'I', 'cut', 'and', 'ran', 'after', 'two', 'West', 'Wing', 'episodes']",5,7,['@SCTunstall'],1,[],0,Wed
23,0,Sun May 31 18:36:38 2009,@digitallearnin Heppell's opening sentences describe how I see NZ schools developing under the current govt  ...,1,16,"['@digitallearnin', ""Heppell's"", 'opening', 'sentences', 'describe', 'how', 'I', 'see', 'NZ', 'schools', 'developing', 'under', 'the', 'current', 'govt', '...']",3,11,['@digitallearnin'],1,[],0,Sun
24,1,Sun May 17 11:22:44 2009,@IHauntWizards See it! Its amazing ,2,6,"['@IHauntWizards', 'See', 'it', '!', 'Its', 'amazing']",4,1,['@IHauntWizards'],1,[],0,Sun
25,0,Fri Jun 19 03:56:13 2009,"@Luke Oh Luke  , why don't you answer me? pleease try it . Love your music ! Hear it the whole day, really !",5,25,"['@Luke', 'Oh', 'Luke', ',', 'why', ""don't"", 'you', 'answer', 'me', '?', 'pleease', 'try', 'it', '.', 'Love', 'your', 'music', '!', 'Hear', 'it', 'the', 'whole', 'day,', 'really', '!']",4,15,['@Luke'],1,[],0,Fri
26,1,Sun May 31 12:56:37 2009,getting ready ,1,2,"['getting', 'ready']",0,1,[],0,[],0,Sun
27,0,Sun May 03 07:03:20 2009,@buckhollywood I Cant Watch That i'm in the UK  Can you tell me what its about? Please x,2,19,"['@buckhollywood', 'I', 'Cant', 'Watch', 'That', ""i'm"", 'in', 'the', 'UK', 'Can', 'you', 'tell', 'me', 'what', 'its', 'about', '?', 'Please', 'x']",6,11,['@buckhollywood'],1,[],0,Sun
28,0,Mon Jun 15 07:31:50 2009,I wont forget today .... ,1,5,"['I', 'wont', 'forget', 'today', '....']",1,3,[],0,[],0,Mon
29,1,Sun May 17 23:50:10 2009,"@soycamo Right then, now that weï¿½re on the same page  Write in Ruby + Cocoa?",1,16,"['@soycamo', 'Right', 'then,', 'now', 'that', 'weï¿½re', 'on', 'the', 'same', 'page', 'Write', 'in', 'Ruby', '+', 'Cocoa', '?']",2,11,['@soycamo'],1,[],0,Sun
30,1,Mon Jun 15 21:51:12 2009,@Liverpool_TX lol.. okay if I have your permission I'll try.. (will give you credit)  ,1,16,"['@Liverpool_TX', 'lol', '..', 'okay', 'if', 'I', 'have', 'your', 'permission', ""I'll"", 'try', '..', '(will', 'give', 'you', 'credit)']",4,8,['@Liverpool_TX'],1,[],0,Mon
31,0,Mon Jun 01 04:39:58 2009,@alix_says I'm going to miss freshman year... ,1,8,"['@alix_says', ""I'm"", 'going', 'to', 'miss', 'freshman', 'year', '...']",2,5,['@alix_says'],1,[],0,Mon
32,1,Sun May 31 04:09:06 2009,@domkoenig nice pic - like your shirt! ,1,8,"['@domkoenig', 'nice', 'pic', '-', 'like', 'your', 'shirt', '!']",0,5,['@domkoenig'],1,[],0,Sun
33,0,Wed Jun 17 00:06:45 2009,@mykiaisosm omj ur bad and mean i should not have meet u in 2nd grade even thouggh we hated each other i should have stayed like that ,1,27,"['@mykiaisosm', 'omj', 'ur', 'bad', 'and', 'mean', 'i', 'should', 'not', 'have', 'meet', 'u', 'in', '2nd', 'grade', 'even', 'thouggh', 'we', 'hated', 'each', 'other', 'i', 'should', 'have', 'stayed', 'like', 'that']",10,15,['@mykiaisosm'],1,[],0,Wed
34,1,Wed Jun 03 02:40:39 2009,"@Cyberela When it is Ã¼ber-succesful, it is called &quot;a Classic&quot; ",1,10,"['@Cyberela', 'When', 'it', 'is', 'Ã¼ber-succesful,', 'it', 'is', 'called', '&quot;a', 'Classic&quot;']",5,3,['@Cyberela'],1,[],0,Wed
35,1,Sat May 02 02:26:10 2009,"Bathroom is sparkling btw ..... Been up since 7, that's gotta be wrong  right, next...",3,16,"['Bathroom', 'is', 'sparkling', 'btw', '.....', 'Been', 'up', 'since', '7,', ""that's"", 'gotta', 'be', 'wrong', 'right,', 'next', '...']",2,10,[],0,[],0,Sat
36,0,Fri Jun 19 22:24:56 2009,@Sally_That_Girl poor L!  ,1,4,"['@Sally_That_Girl', 'poor', 'L', '!']",0,2,['@Sally_That_Girl'],1,[],0,Fri
37,0,Sat Jun 20 06:03:20 2009,So sleepy!!  I hate 8am CASB ,2,7,"['So', 'sleepy', '!!', 'I', 'hate', '8am', 'CASB']",1,3,[],0,[],0,Sat
38,1,Fri May 29 21:29:53 2009,@spencerpratt is cool ,1,3,"['@spencerpratt', 'is', 'cool']",1,1,['@spencerpratt'],1,[],0,Fri
39,0,Sun Apr 19 01:47:25 2009,Work time   http://twitpic.com/3l589,1,3,"['Work', 'time', 'http://twitpic.com/3l589']",0,2,[],0,['http://twitpic.com/3l589'],1,Sun
40,1,Mon Jun 15 04:25:56 2009,eating chocolate with brydie  x,1,5,"['eating', 'chocolate', 'with', 'brydie', 'x']",1,4,[],0,[],0,Mon
41,0,Sun Apr 19 11:00:18 2009,Moz cancelled again!  Poor Akila. ,2,7,"['Moz', 'cancelled', 'again', '!', 'Poor', 'Akila', '.']",2,2,[],0,[],0,Sun
42,0,Sun Jun 07 20:30:43 2009, i missed the game,1,4,"['i', 'missed', 'the', 'game']",1,3,[],0,[],0,Sun
43,0,Fri Jun 05 14:37:22 2009,"@marginatasnaily yeah, used to have them loads...hadn't had them for ages until tonight though it seems. scarey  xxx",1,21,"['@marginatasnaily', 'yeah,', 'used', 'to', 'have', 'them', 'loads', '...', ""hadn't"", 'had', 'them', 'for', 'ages', 'until', 'tonight', 'though', 'it', 'seems', '.', 'scarey', 'xxx']",4,13,['@marginatasnaily'],1,[],0,Fri
44,0,Mon Jun 01 07:05:54 2009,Finally back at work! What a wasted week that was ,2,11,"['Finally', 'back', 'at', 'work', '!', 'What', 'a', 'wasted', 'week', 'that', 'was']",2,7,[],0,[],0,Mon
45,1,Fri Jun 05 16:22:18 2009,i got a webcam ,1,4,"['i', 'got', 'a', 'webcam']",2,2,[],0,[],0,Fri
46,0,Thu Jun 18 11:53:16 2009,Off to watch a student play... back at 9:30. No phone to tweet from. ,3,17,"['Off', 'to', 'watch', 'a', 'student', 'play', '...', 'back', 'at', '9:30', '.', 'No', 'phone', 'to', 'tweet', 'from', '.']",3,10,[],0,[],0,Thu
47,0,Thu Jun 18 08:49:09 2009,has been craving for junk food... ,1,7,"['has', 'been', 'craving', 'for', 'junk', 'food', '...']",0,5,[],0,[],0,Thu
48,1,Wed Jun 03 05:56:47 2009,@Bossmobb Goodmorning to U n Goodnite I'm goin to bed. ,1,11,"['@Bossmobb', 'Goodmorning', 'to', 'U', 'n', 'Goodnite', ""I'm"", 'goin', 'to', 'bed', '.']",2,7,['@Bossmobb'],1,[],0,Wed
49,0,Fri May 29 22:35:37 2009,@NewerDeal I have a pedometer and Nintendo DS but I didn't think about mentioning them ,1,15,"['@NewerDeal', 'I', 'have', 'a', 'pedometer', 'and', 'Nintendo', 'DS', 'but', 'I', ""didn't"", 'think', 'about', 'mentioning', 'them']",5,9,['@NewerDeal'],1,[],0,Fri
50,0,Tue Apr 07 07:10:16 2009,Cat has an appt this afternoon at 3:45. She ate a little this morning. She's hiding right now. I'm worried. ,7,24,"['Cat', 'has', 'an', 'appt', 'this', 'afternoon', 'at', '3:45', '.', 'She', 'ate', 'a', 'little', 'this', 'morning', '.', ""She's"", 'hiding', 'right', 'now', '.', ""I'm"", 'worried', '.']",7,11,[],0,[],0,Tue
51,0,Fri Jun 05 19:18:57 2009,I effed up my stats ,1,5,"['I', 'effed', 'up', 'my', 'stats']",3,2,[],0,[],0,Fri
52,0,Fri Jun 05 12:41:43 2009,Scared of thunder and lightning.  Be careful Georgetta&lt;3,3,9,"['Scared', 'of', 'thunder', 'and', 'lightning', '.', 'Be', 'careful', 'Georgetta&lt;3']",2,5,[],0,[],0,Fri
53,1,Sun Jun 07 00:58:04 2009,Going to Rawon Nguling at Cikajang. Yum!! ,2,9,"['Going', 'to', 'Rawon', 'Nguling', 'at', 'Cikajang', '.', 'Yum', '!!']",1,5,[],0,[],0,Sun
54,0,Fri Jun 05 15:32:39 2009,@meggles89 I miss your face!  When is Bonnaroo?,2,10,"['@meggles89', 'I', 'miss', 'your', 'face', '!', 'When', 'is', 'Bonnaroo', '?']",2,5,['@meggles89'],1,[],0,Fri
55,0,Tue Apr 07 08:45:22 2009,Stupid Twitter keeps telling me that it's 'over capacity' ,1,9,"['Stupid', 'Twitter', 'keeps', 'telling', 'me', 'that', ""it's"", ""'over"", ""capacity'""]",2,6,[],0,[],0,Tue
56,0,Sat Jun 06 11:40:38 2009,at work and completely bored!! blah! I need a hug. ,3,13,"['at', 'work', 'and', 'completely', 'bored', '!!', 'blah', '!', 'I', 'need', 'a', 'hug', '.']",4,6,[],0,[],0,Sat
57,1,Sun Apr 19 12:16:04 2009,&quot;I wanna wake up where you are&quot; I love the Goo Goo Dolls  ? http://blip.fm/~4lfcc,2,15,"['&quot;I', 'wanna', 'wake', 'up', 'where', 'you', 'are&quot;', 'I', 'love', 'the', 'Goo', 'Goo', 'Dolls', '?', 'http://blip.fm/~4lfcc']",4,10,[],0,['http://blip.fm/~4lfcc'],1,Sun
58,0,Mon Jun 01 21:26:47 2009,Everyone has been grumpy in the Guillot house tonight. Including me.  now I'm still up sulking about it.,3,21,"['Everyone', 'has', 'been', 'grumpy', 'in', 'the', 'Guillot', 'house', 'tonight', '.', 'Including', 'me', '.', 'now', ""I'm"", 'still', 'up', 'sulking', 'about', 'it', '.']",7,11,[],0,[],0,Mon
59,0,Sun May 17 11:23:59 2009,@ferrite Dave! I don't think you guys ever got my rsvp! ,2,13,"['@ferrite', 'Dave', '!', 'I', ""don't"", 'think', 'you', 'guys', 'ever', 'got', 'my', 'rsvp', '!']",2,8,['@ferrite'],1,[],0,Sun
60,0,Mon Jun 22 11:51:21 2009,dr office... hopefully finding out why i've been so sick  it's so hard to keep my eyes open,1,19,"['dr', 'office', '...', 'hopefully', 'finding', 'out', 'why', ""i've"", 'been', 'so', 'sick', ""it's"", 'so', 'hard', 'to', 'keep', 'my', 'eyes', 'open']",6,11,[],0,[],0,Mon
61,1,Sat Jun 06 21:37:05 2009,@cmrush niiice i love asuka...esp on weekdays they have GREAT sushi rolls for super cheap!  hope youre having a great weekend!!!,2,25,"['@cmrush', 'niiice', 'i', 'love', 'asuka', '...', 'esp', 'on', 'weekdays', 'they', 'have', 'GREAT', 'sushi', 'rolls', 'for', 'super', 'cheap', '!', 'hope', 'youre', 'having', 'a', 'great', 'weekend', '!!!']",5,16,['@cmrush'],1,[],0,Sat
62,1,Sat May 30 16:52:13 2009,@nachojohnny ilove it too!! - think ive seen every episode possible.  ; how bout you ?? ..,3,19,"['@nachojohnny', 'ilove', 'it', 'too', '!!', '-', 'think', 'ive', 'seen', 'every', 'episode', 'possible', '.', ';', 'how', 'bout', 'you', '??', '..']",5,7,['@nachojohnny'],1,[],0,Sat
63,1,Sun Jun 07 20:09:08 2009,"@teambudd1 Hahaha was that a funny reply? Hahaha Just saying, she is from Kansas and all. She can appreciate that. ",4,23,"['@teambudd1', 'Hahaha', 'was', 'that', 'a', 'funny', 'reply', '?', 'Hahaha', 'Just', 'saying,', 'she', 'is', 'from', 'Kansas', 'and', 'all', '.', 'She', 'can', 'appreciate', 'that', '.']",5,14,['@teambudd1'],1,[],0,Sun
64,0,Mon Jun 22 19:08:13 2009,"@karon I just saw two, but they were small ",1,9,"['@karon', 'I', 'just', 'saw', 'two,', 'but', 'they', 'were', 'small']",1,7,['@karon'],1,[],0,Mon
65,0,Wed Jun 17 21:27:01 2009,i feel like death...my next investment?going to the spa! i need a new body that can function  (via @IngaDurgin)i herd sleep is good 4 dat,3,31,"['i', 'feel', 'like', 'death', '...', 'my', 'next', 'investment', '?', 'going', 'to', 'the', 'spa', '!', 'i', 'need', 'a', 'new', 'body', 'that', 'can', 'function', '(via', '@IngaDurgin', ')i', 'herd', 'sleep', 'is', 'good', '4', 'dat']",7,17,['@IngaDurgin'],1,[],0,Wed
66,1,Sat Jun 06 16:02:52 2009,"Goodnight everybody. See u tomorrow night or monday.  Ciao, my friends. xo  -a",5,16,"['Goodnight', 'everybody', '.', 'See', 'u', 'tomorrow', 'night', 'or', 'monday', '.', 'Ciao,', 'my', 'friends', '.', 'xo', '-a']",4,8,[],0,[],0,Sat
67,1,Sun May 03 09:11:35 2009,"Alright, now that I finally woke my ass up late as usual....it's coffee and green time! The best part of waking up.  Yeah I'm a dork.",4,31,"['Alright,', 'now', 'that', 'I', 'finally', 'woke', 'my', 'ass', 'up', 'late', 'as', 'usual', '....', ""it's"", 'coffee', 'and', 'green', 'time', '!', 'The', 'best', 'part', 'of', 'waking', 'up', '.', 'Yeah', ""I'm"", 'a', 'dork', '.']",12,15,[],0,[],0,Sun
68,0,Sat May 02 05:27:27 2009,Im bored  just trying to figure out all the profiles ive made on the net but cannot remember a bit brain dead at the moment ,1,25,"['Im', 'bored', 'just', 'trying', 'to', 'figure', 'out', 'all', 'the', 'profiles', 'ive', 'made', 'on', 'the', 'net', 'but', 'cannot', 'remember', 'a', 'bit', 'brain', 'dead', 'at', 'the', 'moment']",7,18,[],0,[],0,Sat
69,0,Sun Jun 07 03:45:01 2009,@OfficialAS fair enough  I'll slap your vis comm teachers face? KK?! lmao but THURSDAY THURSDAY THURSDAY!,3,19,"['@OfficialAS', 'fair', 'enough', ""I'll"", 'slap', 'your', 'vis', 'comm', 'teachers', 'face', '?', 'KK', '?!', 'lmao', 'but', 'THURSDAY', 'THURSDAY', 'THURSDAY', '!']",3,13,['@OfficialAS'],1,[],0,Sun
70,1,Sun Jun 07 13:17:29 2009,yesterday was fantastic!  saw my fam. from Oregon.. I missed them soo much!,4,17,"['yesterday', 'was', 'fantastic', '!', 'saw', 'my', 'fam', '.', 'from', 'Oregon', '..', 'I', 'missed', 'them', 'soo', 'much', '!']",2,10,[],0,[],0,Sun
71,1,Sun May 10 07:28:43 2009,@mrskutcher in Poland Mothers Day is on 26th May. ,1,10,"['@mrskutcher', 'in', 'Poland', 'Mothers', 'Day', 'is', 'on', '26th', 'May', '.']",3,4,['@mrskutcher'],1,[],0,Sun
72,1,Wed Jun 03 07:36:20 2009,@EastCoastGamblr I like it!  It's how I feel today.,2,11,"['@EastCoastGamblr', 'I', 'like', 'it', '!', ""It's"", 'how', 'I', 'feel', 'today', '.']",5,4,['@EastCoastGamblr'],1,[],0,Wed
73,1,Mon Jun 01 16:46:50 2009,LydiaStack @mitchelmusso when is the Australian relese? do you know? please write back ,3,15,"['LydiaStack', '@mitchelmusso', 'when', 'is', 'the', 'Australian', 'relese', '?', 'do', 'you', 'know', '?', 'please', 'write', 'back']",2,9,['@mitchelmusso'],1,[],0,Mon
74,1,Mon Jun 01 01:58:09 2009,now etf ,1,2,"['now', 'etf']",1,0,[],0,[],0,Mon
75,0,Mon Jun 15 00:53:38 2009,Back to work ,1,3,"['Back', 'to', 'work']",0,2,[],0,[],0,Mon
76,1,Sun May 31 08:01:04 2009,Beach day. Headed down with the cats to listen to the Yankees game and get the place cleaned up. And maybe read a little ,5,26,"['Beach', 'day', '.', 'Headed', 'down', 'with', 'the', 'cats', 'to', 'listen', 'to', 'the', 'Yankees', 'game', 'and', 'get', 'the', 'place', 'cleaned', 'up', '.', 'And', 'maybe', 'read', 'a', 'little']",4,19,[],0,[],0,Sun
77,0,Mon Jun 15 01:26:04 2009,"Pulled out my oboe after a full year, &amp; definitely no longer at symphony level. I must remedy this at once! ...ow. My lips hurt now ",6,30,"['Pulled', 'out', 'my', 'oboe', 'after', 'a', 'full', 'year,', '&amp;', 'definitely', 'no', 'longer', 'at', 'symphony', 'level', '.', 'I', 'must', 'remedy', 'this', 'at', 'once', '!', '...', 'ow', '.', 'My', 'lips', 'hurt', 'now']",10,15,[],0,[],0,Mon
78,1,Sun Jun 07 05:01:00 2009,@nessie_111 f1 today?Oh well the world cup's really diverted all my attention. ,2,15,"['@nessie_111', 'f1', 'today', '?', 'Oh', 'well', 'the', 'world', ""cup's"", 'really', 'diverted', 'all', 'my', 'attention', '.']",3,9,['@nessie_111'],1,[],0,Sun
79,0,Fri May 29 22:26:48 2009,"@The_Gov poop, forgot about that ",1,5,"['@The_Gov', 'poop,', 'forgot', 'about', 'that']",1,3,['@The_Gov'],1,[],0,Fri
80,1,Wed Jun 03 01:02:12 2009,"my package arrived, cheryl gave me more xiaomantous and the book I ordered with her. yay ",1,17,"['my', 'package', 'arrived,', 'cheryl', 'gave', 'me', 'more', 'xiaomantous', 'and', 'the', 'book', 'I', 'ordered', 'with', 'her', '.', 'yay']",4,11,[],0,[],0,Wed
81,1,Sun May 31 01:52:00 2009,"@nakulshenoy Lol, that and &quot;twiiter killed the blogger&quot; are far apart. Btw, what is &quot;blogging in the traditional sense&quot; may i know? ",3,24,"['@nakulshenoy', 'Lol,', 'that', 'and', '&quot;twiiter', 'killed', 'the', 'blogger&quot;', 'are', 'far', 'apart', '.', 'Btw,', 'what', 'is', '&quot;blogging', 'in', 'the', 'traditional', 'sense&quot;', 'may', 'i', 'know', '?']",6,13,['@nakulshenoy'],1,[],0,Sun
82,0,Sat Jun 06 20:20:00 2009,the test was not good  Probably going to get torrent!,1,11,"['the', 'test', 'was', 'not', 'good', 'Probably', 'going', 'to', 'get', 'torrent', '!']",0,9,[],0,[],0,Sat
83,1,Sun May 31 04:12:36 2009,@jeddimkins bahahah id advertise it with fat people ,1,8,"['@jeddimkins', 'bahahah', 'id', 'advertise', 'it', 'with', 'fat', 'people']",3,4,['@jeddimkins'],1,[],0,Sun
84,0,Mon Jun 01 17:03:11 2009,is trying to be amusing. I canât make you laugh can I ,3,13,"['is', 'trying', 'to', 'be', 'amusing', '.', 'I', 'canâ\x80\x99t', 'make', 'you', 'laugh', 'can', 'I']",4,8,[],0,[],0,Mon
85,1,Sun May 10 08:08:55 2009,"@DannyMcEvoy haha! Leave Hull alone! Yeah, i'm doing it now mate ",3,13,"['@DannyMcEvoy', 'haha', '!', 'Leave', 'Hull', 'alone', '!', 'Yeah,', ""i'm"", 'doing', 'it', 'now', 'mate']",3,7,['@DannyMcEvoy'],1,[],0,Sun
86,1,Sun Jun 07 02:16:11 2009,good morning   Ugh i have to clean up my room -.-,1,13,"['good', 'morning', 'Ugh', 'i', 'have', 'to', 'clean', 'up', 'my', 'room', '-', '.', '-']",3,6,[],0,[],0,Sun
87,0,Fri Jun 19 22:03:01 2009,"@uyennguyen_ NO! i wanted to  i was so upset the day of it, did you? ",2,17,"['@uyennguyen_', 'NO', '!', 'i', 'wanted', 'to', 'i', 'was', 'so', 'upset', 'the', 'day', 'of', 'it,', 'did', 'you', '?']",6,9,['@uyennguyen_'],1,[],0,Fri
88,1,Mon Jun 15 09:24:04 2009,"I've decided to run the laptop off the battery not the power cord, in case there's a power surge. Stormy ",2,21,"[""I've"", 'decided', 'to', 'run', 'the', 'laptop', 'off', 'the', 'battery', 'not', 'the', 'power', 'cord,', 'in', 'case', ""there's"", 'a', 'power', 'surge', '.', 'Stormy']",4,16,[],0,[],0,Mon
89,1,Sun Jun 07 12:30:11 2009,hey.... someones happy  someone aka me!,1,8,"['hey', '....', 'someones', 'happy', 'someone', 'aka', 'me', '!']",1,4,[],0,[],0,Sun
90,0,Sat May 30 13:22:18 2009,On no my fear has come back!!  no ride for me...,2,13,"['On', 'no', 'my', 'fear', 'has', 'come', 'back', '!!', 'no', 'ride', 'for', 'me', '...']",1,10,[],0,[],0,Sat
91,0,Sun May 03 22:11:04 2009,@Peace_P so i knocked on your door to see if you wanted to go to KFC with me but I guess you were sleeping  lol,1,25,"['@Peace_P', 'so', 'i', 'knocked', 'on', 'your', 'door', 'to', 'see', 'if', 'you', 'wanted', 'to', 'go', 'to', 'KFC', 'with', 'me', 'but', 'I', 'guess', 'you', 'were', 'sleeping', 'lol']",4,20,['@Peace_P'],1,[],0,Sun
92,0,Sun Jun 07 19:18:28 2009,"@markvanbaale No, I didn't see anything -- watched for awhile earlier this evening but then had to get back to deadlines. ",1,22,"['@markvanbaale', 'No,', 'I', ""didn't"", 'see', 'anything', '--', 'watched', 'for', 'awhile', 'earlier', 'this', 'evening', 'but', 'then', 'had', 'to', 'get', 'back', 'to', 'deadlines', '.']",5,14,['@markvanbaale'],1,[],0,Sun
93,1,Fri May 29 15:03:27 2009,"@Courtney_182 Well if you're breaking out the vodka, I'll have a lemon drop ",1,13,"['@Courtney_182', 'Well', 'if', ""you're"", 'breaking', 'out', 'the', 'vodka,', ""I'll"", 'have', 'a', 'lemon', 'drop']",4,8,['@Courtney_182'],1,[],0,Fri
94,1,Sat Jun 06 09:38:48 2009,"grad. party, work 12-4, out with seth after...i love summer ",1,13,"['grad', '.', 'party,', 'work', '12-4,', 'out', 'with', 'seth', 'after', '...', 'i', 'love', 'summer']",3,6,[],0,[],0,Sat
95,0,Tue Jun 23 10:19:19 2009,Really needs to start tanning the RIGHT arm ONLY from now on!!! Ugh! My left arm is SO dark from driving ,3,23,"['Really', 'needs', 'to', 'start', 'tanning', 'the', 'RIGHT', 'arm', 'ONLY', 'from', 'now', 'on', '!!!', 'Ugh', '!', 'My', 'left', 'arm', 'is', 'SO', 'dark', 'from', 'driving']",6,14,[],0,[],0,Tue
