,LABEL,DATE_TIME,TEXT,PREPROCESSED_TEXT
20,0,Wed Jun 24 21:57:44 2009,I hate when people have to move away from me ,hate peopl move away
21,0,Sat Jun 20 10:30:52 2009,http://bit.ly/AEbs3   I can only be sad.  #iranelection,sad iranelect
22,1,Wed Jun 03 02:49:07 2009,@SCTunstall woah.  I'm glad I cut and ran after two West Wing episodes ,wah glad cut ran two west wing episod
23,0,Sun May 31 18:36:38 2009,@digitallearnin Heppell's opening sentences describe how I see NZ schools developing under the current govt  ...,heppellopen sentenc describ see nz school develop current govt
24,1,Sun May 17 11:22:44 2009,@IHauntWizards See it! Its amazing ,see amaz
25,0,Fri Jun 19 03:56:13 2009,"@Luke Oh Luke  , why don't you answer me? pleease try it . Love your music ! Hear it the whole day, really !",oh luke answer pleas tri love music hear whole day realli
26,1,Sun May 31 12:56:37 2009,getting ready ,get readi
27,0,Sun May 03 07:03:20 2009,@buckhollywood I Cant Watch That i'm in the UK  Can you tell me what its about? Please x,cant watch uk tell pleas x
28,0,Mon Jun 15 07:31:50 2009,I wont forget today .... ,wont forget today
29,1,Sun May 17 23:50:10 2009,"@soycamo Right then, now that weï¿½re on the same page  Write in Ruby + Cocoa?",right weï ¿ ½ re page write rubi cocoa
30,1,Mon Jun 15 21:51:12 2009,@Liverpool_TX lol.. okay if I have your permission I'll try.. (will give you credit)  ,lol okay permiss tri give credit
31,0,Mon Jun 01 04:39:58 2009,@alix_says I'm going to miss freshman year... ,go miss freshman year
32,1,Sun May 31 04:09:06 2009,@domkoenig nice pic - like your shirt! ,nice pic like shirt
33,0,Wed Jun 17 00:06:45 2009,@mykiaisosm omj ur bad and mean i should not have meet u in 2nd grade even thouggh we hated each other i should have stayed like that ,om ur bad mean meet u 2nd grade even though hate stay like
34,1,Wed Jun 03 02:40:39 2009,"@Cyberela When it is Ã¼ber-succesful, it is called &quot;a Classic&quot; ",ã ¼ bersucces call quotclassicquot
35,1,Sat May 02 02:26:10 2009,"Bathroom is sparkling btw ..... Been up since 7, that's gotta be wrong  right, next...",bathroom sparkl btw sinc 7 gotta wrong right next
36,0,Fri Jun 19 22:24:56 2009,@Sally_That_Girl poor L!  ,poor l
37,0,Sat Jun 20 06:03:20 2009,So sleepy!!  I hate 8am CASB ,sleepi hate 8am case
38,1,Fri May 29 21:29:53 2009,@spencerpratt is cool ,cool
39,0,Sun Apr 19 01:47:25 2009,Work time   http://twitpic.com/3l589,work time
40,1,Mon Jun 15 04:25:56 2009,eating chocolate with brydie  x,eat chocol bridg x
41,0,Sun Apr 19 11:00:18 2009,Moz cancelled again!  Poor Akila. ,moz cancel poor kill
42,0,Sun Jun 07 20:30:43 2009, i missed the game,miss game
43,0,Fri Jun 05 14:37:22 2009,"@marginatasnaily yeah, used to have them loads...hadn't had them for ages until tonight though it seems. scarey  xxx",yeah use loadsag tonight though seem scare xxx
44,0,Mon Jun 01 07:05:54 2009,Finally back at work! What a wasted week that was ,final back work wast week
45,1,Fri Jun 05 16:22:18 2009,i got a webcam ,got webcam
46,0,Thu Jun 18 11:53:16 2009,Off to watch a student play... back at 9:30. No phone to tweet from. ,watch student play back 930 phone tweet
47,0,Thu Jun 18 08:49:09 2009,has been craving for junk food... ,crave junk food
48,1,Wed Jun 03 05:56:47 2009,@Bossmobb Goodmorning to U n Goodnite I'm goin to bed. ,goodmorn u n goodnit go bed
49,0,Fri May 29 22:35:37 2009,@NewerDeal I have a pedometer and Nintendo DS but I didn't think about mentioning them ,perimet nintendo ds think mention
50,0,Tue Apr 07 07:10:16 2009,Cat has an appt this afternoon at 3:45. She ate a little this morning. She's hiding right now. I'm worried. ,cat app afternoon 345 ate littl morn hide right worri
51,0,Fri Jun 05 19:18:57 2009,I effed up my stats ,effect stat
52,0,Fri Jun 05 12:41:43 2009,Scared of thunder and lightning.  Be careful Georgetta&lt;3,scare thunder lightn care georgettalt 3
53,1,Sun Jun 07 00:58:04 2009,Going to Rawon Nguling at Cikajang. Yum!! ,go rayon rule cikajang yum
54,0,Fri Jun 05 15:32:39 2009,@meggles89 I miss your face!  When is Bonnaroo?,miss face bonnaroo
55,0,Tue Apr 07 08:45:22 2009,Stupid Twitter keeps telling me that it's 'over capacity' ,stupid twitter keep tell capac
56,0,Sat Jun 06 11:40:38 2009,at work and completely bored!! blah! I need a hug. ,work complet bore blah need hug
57,1,Sun Apr 19 12:16:04 2009,&quot;I wanna wake up where you are&quot; I love the Goo Goo Dolls  ? http://blip.fm/~4lfcc,quotwanna wake quot love goo goo doll
58,0,Mon Jun 01 21:26:47 2009,Everyone has been grumpy in the Guillot house tonight. Including me.  now I'm still up sulking about it.,everyon grumpi guilt hous tonight includ still suck
59,0,Sun May 17 11:23:59 2009,@ferrite Dave! I don't think you guys ever got my rsvp! ,dave think guy ever got sup
60,0,Mon Jun 22 11:51:21 2009,dr office... hopefully finding out why i've been so sick  it's so hard to keep my eyes open,dr offic hope find sick hard keep eye open
61,1,Sat Jun 06 21:37:05 2009,@cmrush niiice i love asuka...esp on weekdays they have GREAT sushi rolls for super cheap!  hope youre having a great weekend!!!,notic love asukaesp weekday great sushi roll super cheap hope your great weekend
62,1,Sat May 30 16:52:13 2009,@nachojohnny ilove it too!! - think ive seen every episode possible.  ; how bout you ?? ..,love think ive seen everi episod possibl bout
63,1,Sun Jun 07 20:09:08 2009,"@teambudd1 Hahaha was that a funny reply? Hahaha Just saying, she is from Kansas and all. She can appreciate that. ",haha funni repli haha say kansa appreci
64,0,Mon Jun 22 19:08:13 2009,"@karon I just saw two, but they were small ",saw two small
65,0,Wed Jun 17 21:27:01 2009,i feel like death...my next investment?going to the spa! i need a new body that can function  (via @IngaDurgin)i herd sleep is good 4 dat,feel like deathnext investmentgo spa need new bodi function via herd sleep good 4 dat
66,1,Sat Jun 06 16:02:52 2009,"Goodnight everybody. See u tomorrow night or monday.  Ciao, my friends. xo  -a",goodnight everybodi see u tomorrow night monday cia friend xo
67,1,Sun May 03 09:11:35 2009,"Alright, now that I finally woke my ass up late as usual....it's coffee and green time! The best part of waking up.  Yeah I'm a dork.",alright final woke ass late usualcoffe green time best part wake yeah work
68,0,Sat May 02 05:27:27 2009,Im bored  just trying to figure out all the profiles ive made on the net but cannot remember a bit brain dead at the moment ,im bore tri figur profil ive made net cannot rememb bit brain dead moment
69,0,Sun Jun 07 03:45:01 2009,@OfficialAS fair enough  I'll slap your vis comm teachers face? KK?! lmao but THURSDAY THURSDAY THURSDAY!,fair enough slap vi comm teacher face kk lmaz thursday thursday thursday
70,1,Sun Jun 07 13:17:29 2009,yesterday was fantastic!  saw my fam. from Oregon.. I missed them soo much!,yesterday fantast saw fam oregon miss soo much
71,1,Sun May 10 07:28:43 2009,@mrskutcher in Poland Mothers Day is on 26th May. ,poland mother day 26th may
72,1,Wed Jun 03 07:36:20 2009,@EastCoastGamblr I like it!  It's how I feel today.,like feel today
73,1,Mon Jun 01 16:46:50 2009,LydiaStack @mitchelmusso when is the Australian relese? do you know? please write back ,lydiastack australian releas know pleas write back
74,1,Mon Jun 01 01:58:09 2009,now etf ,et
75,0,Mon Jun 15 00:53:38 2009,Back to work ,back work
76,1,Sun May 31 08:01:04 2009,Beach day. Headed down with the cats to listen to the Yankees game and get the place cleaned up. And maybe read a little ,beach day head cat listen yanke game get place clean mayb read littl
77,0,Mon Jun 15 01:26:04 2009,"Pulled out my oboe after a full year, &amp; definitely no longer at symphony level. I must remedy this at once! ...ow. My lips hurt now ",pull obo full year amp definit longer symphoni level must remedi ow lip hurt
78,1,Sun Jun 07 05:01:00 2009,@nessie_111 f1 today?Oh well the world cup's really diverted all my attention. ,f1 today well world cupreal divert attent
79,0,Fri May 29 22:26:48 2009,"@The_Gov poop, forgot about that ",poop forgot
80,1,Wed Jun 03 01:02:12 2009,"my package arrived, cheryl gave me more xiaomantous and the book I ordered with her. yay ",packag arriv cheryl gave xiaomant book order yay
81,1,Sun May 31 01:52:00 2009,"@nakulshenoy Lol, that and &quot;twiiter killed the blogger&quot; are far apart. Btw, what is &quot;blogging in the traditional sense&quot; may i know? ",lol quottwiit kill bloggerquot far apart btw quotblog tradit sensequot may know
82,0,Sat Jun 06 20:20:00 2009,the test was not good  Probably going to get torrent!,test good probabl go get torrent
83,1,Sun May 31 04:12:36 2009,@jeddimkins bahahah id advertise it with fat people ,bahahah id advertis fat peopl
84,0,Mon Jun 01 17:03:11 2009,is trying to be amusing. I canât make you laugh can I ,tri amus canâ   make laugh
85,1,Sun May 10 08:08:55 2009,"@DannyMcEvoy haha! Leave Hull alone! Yeah, i'm doing it now mate ",haha leav hull alon yeah mate
86,1,Sun Jun 07 02:16:11 2009,good morning   Ugh i have to clean up my room -.-,good morn gh clean room
87,0,Fri Jun 19 22:03:01 2009,"@uyennguyen_ NO! i wanted to  i was so upset the day of it, did you? ",want upset day
88,1,Mon Jun 15 09:24:04 2009,"I've decided to run the laptop off the battery not the power cord, in case there's a power surge. Stormy ",decid run laptop batteri power cord case power surg stormi
89,1,Sun Jun 07 12:30:11 2009,hey.... someones happy  someone aka me!,hey someon happi someon aka
90,0,Sat May 30 13:22:18 2009,On no my fear has come back!!  no ride for me...,fear come back ride
91,0,Sun May 03 22:11:04 2009,@Peace_P so i knocked on your door to see if you wanted to go to KFC with me but I guess you were sleeping  lol,knock door see want go kfc guess sleep lol
92,0,Sun Jun 07 19:18:28 2009,"@markvanbaale No, I didn't see anything -- watched for awhile earlier this evening but then had to get back to deadlines. ",see anyth watch awhil earlier even get back deadlin
93,1,Fri May 29 15:03:27 2009,"@Courtney_182 Well if you're breaking out the vodka, I'll have a lemon drop ",well break vodka lemon drop
94,1,Sat Jun 06 09:38:48 2009,"grad. party, work 12-4, out with seth after...i love summer ",grad parti work 124 seth love summer
95,0,Tue Jun 23 10:19:19 2009,Really needs to start tanning the RIGHT arm ONLY from now on!!! Ugh! My left arm is SO dark from driving ,realli need start tan right arm gh left arm dark drive
96,0,Tue Apr 07 01:50:44 2009,Is waiting for the scrappers to come to pick up his old Saab ,wait scrap come pick old aab
97,0,Mon May 18 07:40:23 2009,"Went to bed physically in pain, work up sicker then I've been in years...coffee ",went bed physic pain work kicker yearscoffe
98,0,Wed Jun 17 14:55:37 2009,Traffic is moving at snail's pace on Queen Street East. Streetcar moved one block in 10 minutes from University to York. ,traffic move snailpac queen street east streetcar move one block 10 minut univers york
99,1,Sat May 30 22:39:19 2009,@DavidArchie did they make you sing a song on stage? what song? &amp; glad you had fun ,make sing song stage song amp glad fun
100,0,Mon Jun 01 13:48:15 2009,"My web server is down again - very, very sorry for the inconvenience. Time to start shopping for a new host I guess ",web server sorri inconveni time start shop new host guess
101,1,Sun May 31 15:47:54 2009,@Smithycurt NOBBBBBYYY NOBBY NOB ROTTY  ,nobbbbbyyi lobbi not rout
102,0,Fri May 29 19:22:10 2009,tweetdeck stopped working on me  bahh,tweetdeck stop work bath
103,1,Sat May 09 21:21:43 2009,The hair looks sicckkkk.  Happy mothers day to all the mothers!,hair look sicckkkk happi mother day mother
104,0,Thu Jun 18 14:36:22 2009,Stephanie Pratt Tells MTV News &quot;The Hills' Did Not Make Me Bulimic&quot; http://bit.ly/n4wL4 BETTER but still &gt; half the story is missing ,stephani pratt tell mtv news foothil make bulimicquot better still gt half stori miss
105,0,Mon May 18 06:20:12 2009,Where the hell did the weekend go??one second it was Friday and then i woke up to Monday.. sad sad sad state of afairs.. ,hell weekend gone second friday woke monday sad sad sad state affair
106,0,Mon Jun 15 02:20:19 2009,"So, #TweetDeck was updated to fix a crash, to do so they removed the minimize to systray, which totally blows ",tweetdeck updat fix crash remov minim stray total blow
107,0,Sat Jun 20 22:03:43 2009,@Fashionsourcing Thanks for the invite!! I am swamped so I won't be able to make it.  Who is leaving? Hopefully not you.,thank invit swamp abl make leav hope
108,0,Tue Jun 16 20:59:33 2009,Really Tired Man ,realli tire man
109,0,Sat Jun 20 06:25:36 2009,lounging about.... got a sore head ,long got sore head
110,0,Wed Jun 17 02:31:55 2009,@alexispratsides thanks. lol. sadly I am 31!! waaahhhhh ,thank lol sadli 31 waaahhhhh
111,1,Sun Jun 07 15:26:08 2009,Bye everyone ,bye everyon
112,0,Sun May 03 16:22:27 2009,studin have a test tomorrow ,studio test tomorrow
113,1,Mon May 18 06:09:59 2009,"NGL, Finishing that Effy/Emily fic where THEY GOT A PUPPY AND ARE IN SO MUCH LOVE ITS RIDICULOUS completely made my night. I'm ecstatic! ",ngl finish effyemili fic got puppi much love ridicul complet made night ecstat
114,1,Mon Jun 01 20:31:06 2009,"ROTFLMAO http://bit.ly/rwoHR   &quot;Muthu Kodi Kawadi Hada&quot; is tamil for &quot;Muthu, would u come for bath&quot; ... WTF! ",rotflmao quotmuthu koda hawaii hadaquot tamil quotmuthu would u come bathquot wtf
115,0,Thu Jun 18 18:13:29 2009,"hmm had to make a choice, decided to go to the Food Inc. reception and screening instead of hanging out at the #SCGeek dinner ",hmm make choic decid go food inc recept screen instead hang screen dinner
116,0,Mon May 18 06:10:20 2009,"tyrone  thanks for making my years at the golf course unforgettable, RIP",throne thank make year golf cours unforgett rip
117,1,Sun Apr 19 00:12:46 2009,@chuckiem Good night ,good night
118,0,Mon Jun 22 15:55:38 2009,Dmv physical exam for shuttle job ,div physic exam shuttl job
119,1,Mon May 18 08:04:25 2009,off to play golf with my wonderful husband who took the day off...kids still in school ,play golf wonder husband took day kid still school
120,1,Sun May 31 10:15:41 2009,@MicheleKnight Awww Picasso is too cute! ,www picasso cute
121,0,Tue May 26 21:12:30 2009,shower/smoke/no time for razzle dazzle ,showersmoketim puzzl puzzl
122,0,Sun Jun 21 05:09:42 2009,I want Chinese for tea! Yet another leaflet came in through the mail slot a minute ago. Luton is really looking like a fast food haven ,want chines tea yet anoth leaflet came mail slot minut ago luton realli look like fast food
123,0,Sun Jun 07 08:01:11 2009,Go away wasps ,go away wasp
124,1,Fri Jun 05 21:16:37 2009,"@jacdo Hey, Jacks, I was looking for a cool food place. Any suggestions?  *runs and hides*",hey jack look cool food place suggest run hide
125,0,Mon Jun 01 20:41:08 2009,love it! Andy Richter is back! but what about Joel?  ,love andi richter back joel
126,1,Sun May 31 09:15:25 2009,"@Dj_SportsChick you are going to soo love it when Pink sings Glitter in the Air during her show, soo amazing and beautiful ",go soo love pink sing glitter air show soo amaz beauti
127,0,Fri May 29 12:53:52 2009,watching Army Wives and it always makes me cry ,watch armi wive alway make cri
128,0,Fri May 29 17:46:59 2009,"@johnny_trouble Ive been dealing with roomate CRAP, aside from that, nothing, cleaning ALOT and I will!! I miss abi  How have you been?",ive deal roommat crap asid noth clean alot miss abi
129,1,Sun May 31 00:05:57 2009,just got pulled over by nevada state popos!! its quite grand ,got pull nevada state pop quit grand
130,1,Fri May 29 11:29:13 2009,"@HisFitness thanks!  I'm the marketing/PR guy on left, my canvass leader in center and our politician on the right. Tomorrow we #MITM4E!",thank market guy left canvass leader center politician right tomorrow mit 4e
131,1,Fri May 29 00:57:33 2009,@AmazingPhil  Morning Roarface ,morn roarfac
132,0,Sun Jun 07 14:56:42 2009,my arm still hurts from when i pulled it yesterday ,arm still hurt pull yesterday
133,1,Mon Jun 15 22:33:57 2009,Just finished saying prayers ,finish say prayer
134,1,Wed Jun 03 09:41:07 2009,"@Wendym00n yeah i don't watch a lot of new movies. actually, i don't watch a lot of movies. just doctor who. ",yeah watch lot new movi actual watch lot movi doctor
135,1,Sun May 17 17:08:46 2009,To be precise: *public* education is the best defense against *private* deflation ,precis public educ best defens privat delet
136,0,Mon Jun 01 08:48:55 2009,Is at a kids party when I should be in the sun ,kid parti sun
137,1,Wed Jun 03 03:06:49 2009,@nathalichristy les les dan less  aahahahah oi oi liburan kmn? hehe,le le dan less aahahahah oi oi liber km here
138,1,Sun May 17 09:50:48 2009,Just painted the rims on my car he he he ,paint rim car
139,1,Tue Jun 16 07:19:13 2009,"@MATTHARDYBRAND you are so lucky to have such good friends, but I'm sure you already knew that ",lucki good friend sure alreadi knew
140,0,Fri Jun 05 17:28:09 2009,"Finished 12 out the money in the $55 1 A+R on stars, played far too aggressive trying to build monster stack approaching bubble  x x",finish 12 money 55 1 r star play far aggress tri build monster stack approach bubbl x x
141,1,Fri May 29 23:36:11 2009,At kk's nani and tati's! I love her family.  going to grad night soon?,kknani tat love famili go grad night soon
142,1,Fri May 22 01:05:12 2009,@MaryJoRs Your back!  I thought you left us,back thought left us
143,1,Tue Jun 16 00:12:36 2009,If you use StumbleUpon Please give my site The Thumbs Up  http://su.pr/1rXuPY,use stumbleupon pleas give site thumb
144,1,Sat May 30 19:02:30 2009,@bedoggtde http://twitpic.com/6b03x - Awww my little cousin in cute... she get it from her daddy! ,www littl cousin cute get daddi
145,0,Sun Jun 07 06:15:51 2009,i bet i was mistaking.. nah i'm not surprised ,bet mistak nah surpris
146,0,Thu Jun 04 22:35:36 2009,@omerrr I was hoping SubZERO was an ice creap party ,hope subvert ice cream parti
147,1,Sun May 03 02:36:21 2009,@mommo9000 thanks. If you feel the need to fly I have a paitnbrush with ur name on it  and bring that Linux guru with you ;),thank feel need fli paitnbrush ur name bring linux guru
148,1,Sat May 30 19:04:43 2009,"@SupaSash11 i am a cavs fan for this series, but if they pay the lakers- ill be rooting for the lakers ",cap fan seri pay laker ill root laker
149,0,Sun Jun 14 23:08:19 2009,Stuck in the rain..... boohoo. ,stuck rain boyhood
150,1,Sun Jun 07 17:00:29 2009,Watching T.v. whilst on the phone ,watch v whilst phone
151,1,Sat Jun 06 19:50:35 2009,@MAYAHZONFIYA SORRIE I AIN'T GET A CHANCE 2 STICK AROUND LONGER ,sorti get chanc 2 stick around longer
152,0,Fri May 29 14:56:45 2009,is goin out  to  dinner! ,go dinner
153,0,Wed Jun 17 08:38:57 2009,@BabyBree96  hide your kittys!! ,hide kitti
154,1,Sat May 30 13:04:59 2009,prince harry is one blockk awayy x3 ,princ harri one block away x3
155,0,Mon Jun 22 19:08:54 2009,So hungry  waiting for history to start,hungri wait histori start
156,1,Sat May 02 01:26:04 2009,Wussup new followers!! ,wussup new follow
157,1,Sat May 30 08:51:35 2009,@egoodlett and @angelajames thank you both for helpin me out your very kind ,thank help kind
158,0,Sun May 10 20:25:57 2009,@David_Henrie can you say a prayer for my friend Chealse because she just lost her dad.  so i wont see her at my younglife group so ye ...,say prayer friend chees lost dad wont see younglif group ye
159,0,Mon Jun 15 17:48:50 2009, today sucks,today suck
160,1,Sat Jun 06 18:23:46 2009,r @rafaelvandyke Found a hole in 11YO son's bedroom wall. Momma was not happy! &gt; Were there toys strategically stacked over it? ,r found hole 11yo sonbedroom wall comma happi gt toy strateg stack
161,0,Wed Jun 03 07:25:10 2009,"have a headache, but that won't keep me from my twitter! so, tired of all the gossip, my heart breaks everytime his name and HER come up ",headach keep twitter tire gossip heart break overtim name come
162,1,Sun May 03 03:32:04 2009,6 daays until i go away on duke of ed. im like really excited ,6 day go away duke ed im like realli excit
163,0,Sun Jun 21 03:15:58 2009,I miss my baby; I know he's sleep @ his grandma house missin his mommy ,miss babi know sleep grand hous miss tommi
164,0,Fri Jun 05 18:18:51 2009,Totally bummed out that I won't see my buddy Nels on Monday ,total sum see buddi news monday
165,0,Wed Jun 17 01:56:40 2009,"I have a Celine Dion song stuck in my head.    That statement is sort of a summary of how things have gone today.  Okay, not THAT bad. O:/",celin dion song stuck head statement sort summari thing gone today okay bad
166,0,Thu Jun 18 05:49:49 2009,Good morning twitter! I set the microwave @ work on fire again!!! not allowed 2 use it anymore  &amp; ppl wonder why I dont hav 1 @ home.,good morn twitter set microwav work fire allow 2 use anymor amp ppl wonder dont hav 1 home
167,1,Sun Jun 07 01:07:32 2009,@rainbowsleeve thanks for passing on the word re: no plastic bags petition (http://tinyurl.com/dk5p94) ,thank pass word plastic bag petit
168,0,Sun May 03 09:45:17 2009,"small problem when testing the php/mysql demo, need to use two seperate browsers to test otherwise the cookie code gives me same name ",small problem test phpmysql demo need use two seper browser test otherwis cooki code give name
169,0,Mon Jun 01 15:24:32 2009,"@ChrisCavs I could send you some of the spam replies I got after that tweet, probably won't help though. ",could send spam repli got tweet probabl help though
170,1,Thu May 21 23:56:32 2009,yeah its raining .. gonna be a good cycle in ,yeah rain gonna good cycl
171,1,Tue Jun 02 05:42:17 2009,@shaundiviney  Maybe one from Oasis ,mayb one oasi
172,1,Tue Apr 07 04:04:39 2009,@stephenfry Few things I've found better for settling myself in after a long trip than wandering around London. ,thing found better settl long trip wander around london
173,1,Sun Jun 07 07:01:25 2009,Im in such a happy mood again ,im happi mood
174,0,Mon Jun 01 11:01:51 2009,"I can't believe an entire plane full of people, a BIG plane full of people just disappeared. This is absolutely screwed up. ",believ entir plane full peopl big plane full peopl disappear absolut screw
175,0,Mon May 18 07:19:41 2009,@pinkkpaiige12  What's going on? ,go
176,0,Fri May 29 10:46:55 2009,Pooping in a Pennsylvania rest stop!  I hate using public toilets ,pop pennsylvania rest stop hate use public toilet
177,0,Sat May 30 09:39:43 2009,Enjoy No Doubt! They r sold out in Houston....  ,enjoy doubt r sold houston
178,0,Thu Jun 25 05:54:29 2009,Ate too much shit at lunch  Feel sick now!,ate much shit lunch feel sick
179,0,Tue Jun 16 16:08:47 2009,@BrettKloesel yeah thanks for the rude post. Didn't see it till after I posted that last one. Nice ,yeah thank rude post see till post last one nice
180,1,Sat Jun 06 17:09:09 2009,@zate all i can say is that no technical people had any part in the decision making process ,say technic peopl part decis make process
181,1,Mon Jun 01 04:27:24 2009,@edlee I guess someone had to step up and declare that Twitter is over-hyped. Certainly attracts the spotlight. ,guess someon step declar twitter hope certainli attract spotlight
182,0,Mon May 18 00:39:00 2009,no work tomorrow ,work tomorrow
183,0,Sat Jun 20 04:17:38 2009,"and my poor daughter (Vero, 16) is on a Rock festival for this weekend...hope she will not drown or get a cold ",poor daughter veri 16 rock festiv weekendhop drown get cold
184,0,Fri Jun 19 08:29:19 2009,Its so early for me to be up!!  im going campening!,earli im go compet
185,0,Thu Jun 18 16:45:07 2009,I really really really wanna go see Maxwell in concert....his tickets are mad expensive tho ,realli realli realli wanna go see maxwel concertticket mad expens tho
186,0,Sun May 03 08:34:50 2009,@laurenbotzspons I wish I knew why your life was redic. ,wish knew life redir
187,0,Tue Jun 02 01:41:44 2009,Is on his way home after work. And thinks it's sad the missing 14 y/o was found in the Yarra. His poor family ,way home work think sad miss 14 found barra poor famili
188,0,Mon Jun 01 06:36:11 2009,@tommcfly @dougiemcfly @dannymcfly @mcflyharry THE PHILIPPINES NEEDS YOU! PLEASE COME HERE  #mcflyinmanila #mcflyinmanila #mcflyinmanila,philippin need pleas come mcflyinmanila mcflyinmanila mcflyinmanila
189,1,Sat May 09 23:01:45 2009,Selling artwork+ risk game with the boys+ startrek= just what i needed. What a good day ,sell artwork risk game boy start need good day
190,0,Tue Jun 16 21:40:54 2009,I'm ready for bed...Madi not so much ,readi bedmadi much
191,1,Sun Jun 14 23:09:39 2009,@DonnieWahlberg It's a blessing to c u! Especially meeting u in Pittsburgh! 1 of the best nights of my life! It was an honor meeting u ,bless c u especi meet u pittsburgh 1 best night life honor meet u
192,1,Thu May 14 03:52:26 2009,@softandpoofyone Not beofre I get back to see ya! ,befor get back see ya
193,1,Mon Jun 01 16:11:21 2009,"Thas You....that talks about your homies behind they back,but you always with em ery location he be at.....thas you!!!! Gotta love z-ro ",that talk home behind backalway em eri locat that gotta love pro
194,0,Sun May 03 02:11:24 2009,@RealKidPoker You're in Wolverine?! Now I know I'm never gonna receive a Twitter reply or get to meet u during my Vegas trip this year. ,wolverin know never gonna receiv twitter repli get meet u vega trip year
195,1,Wed Jun 03 07:41:28 2009,@twishmay I'm working on something for my office. and its cool ,work someth offic cool
196,1,Sat May 30 03:35:32 2009,@TheRoundDiet Hey! Love the idea of a round diet  Are you books on Amazon yet?,hey love idea round diet book amazon yet
197,1,Fri Jun 05 18:19:57 2009,@romaineami I know.  I love how we're havin two different convos in two different places. what next ? a diff convo on myspace ? lol,know love have two differ convoy two differ place next diff convoy myspac lol
198,1,Tue Jun 02 06:32:37 2009,"Green Day and livelavalive = new IDOLS... Sorry Lacey, but your awesome voice cannot compare... i hope you'll settle for number three  ...",green day livelaval new idol sorri lace awesom voic cannot compar hope settl number three
199,0,Sun Jun 07 06:04:19 2009,@rayamartin ang gandaaa &lt;3  gusto ko rin ng fresh croissant. mmm,ang gandaaa lt3 gust ko rin ng fresh croissant mmm
200,1,Wed Jun 03 09:30:52 2009,@Joenid ... spreading the love ...  *waves* HI !!!,spread love wave hi
201,1,Sun Jun 07 02:29:40 2009,Wow. Night out with my LSs.. Slightly inebriated and on South Beach... PRICELESS ,wow night loss slightli infuri south beach priceless
202,1,Mon Jun 15 01:16:56 2009,Very Excited....!!! Leaving for Alton Towers in 16 Hours  ,excit leav alto tower 16 hour
203,0,Sun Jun 07 11:29:20 2009,@Affan a freaking pandora app!!!!!!!!!!!!! there is last.fm and imeem but no pandora ,break pandora app last item pandora
204,0,Fri Jun 19 06:24:28 2009,Georgia theatre badly burned  Lots of smoke and lots of street lights out dt,georgia theatr badli burn lot smoke lot street light dt
