LABEL,DATE_TIME,TEXT,preprocessed_text
1,Sat May 30 20:40:57 2009,just got out the hot tub....about to go get a movie and ice cream with mt lil sis and call it a night!!!  nothing like some sis time!!! ,"['just', 'got', 'out', 'the', 'hot', 'tubabout', 'to', 'go', 'get', 'a', 'movie', 'and', 'ice', 'cream', 'with', 'mt', 'lil', 'sis', 'and', 'call', 'it', 'a', 'night', 'nothing', 'like', 'some', 'sis', 'time']"
0,Thu May 21 23:50:48 2009,@flyingbolt  Not as good without you! ,"['not', 'as', 'good', 'without', 'you']"
0,Mon Apr 20 05:54:03 2009,"LOL HELP ME, I'm obsessed with Hannah Montana ","['lol', 'help', 'me', 'im', 'obsessed', 'with', 'hannah', 'montana']"
0,Wed Jun 24 21:57:44 2009,I hate when people have to move away from me ,"['i', 'hate', 'when', 'people', 'have', 'to', 'move', 'away', 'from', 'me']"
0,Sat Jun 20 10:30:52 2009,http://bit.ly/AEbs3   I can only be sad.  #iranelection,"['i', 'can', 'only', 'be', 'sad', 'iranelection']"
1,Wed Jun 03 02:49:07 2009,@SCTunstall woah.  I'm glad I cut and ran after two West Wing episodes ,"['wah', 'im', 'glad', 'i', 'cut', 'and', 'ran', 'after', 'two', 'west', 'wing', 'episodes']"
0,Sun May 31 18:36:38 2009,@digitallearnin Heppell's opening sentences describe how I see NZ schools developing under the current govt  ...,"['heppells', 'opening', 'sentences', 'describe', 'how', 'i', 'see', 'nz', 'schools', 'developing', 'under', 'the', 'current', 'govt']"
1,Sun May 17 11:22:44 2009,@IHauntWizards See it! Its amazing ,"['see', 'it', 'its', 'amazing']"
0,Fri Jun 19 03:56:13 2009,"@Luke Oh Luke  , why don't you answer me? pleease try it . Love your music ! Hear it the whole day, really !","['oh', 'luke', 'why', 'dont', 'you', 'answer', 'me', 'please', 'try', 'it', 'love', 'your', 'music', 'hear', 'it', 'the', 'whole', 'day', 'really']"
1,Sun May 31 12:56:37 2009,getting ready ,"['getting', 'ready']"
0,Sun May 03 07:03:20 2009,@buckhollywood I Cant Watch That i'm in the UK  Can you tell me what its about? Please x,"['i', 'cant', 'watch', 'that', 'im', 'in', 'the', 'uk', 'can', 'you', 'tell', 'me', 'what', 'its', 'about', 'please', 'x']"
0,Mon Jun 15 07:31:50 2009,I wont forget today .... ,"['i', 'wont', 'forget', 'today']"
1,Sun May 17 23:50:10 2009,"@soycamo Right then, now that weï¿½re on the same page  Write in Ruby + Cocoa?","['right', 'then', 'now', 'that', 'weï', 're', 'on', 'the', 'same', 'page', 'write', 'in', 'ruby', 'cocoa']"
1,Mon Jun 15 21:51:12 2009,@Liverpool_TX lol.. okay if I have your permission I'll try.. (will give you credit)  ,"['lol', 'okay', 'if', 'i', 'have', 'your', 'permission', 'ill', 'try', 'will', 'give', 'you', 'credit']"
0,Mon Jun 01 04:39:58 2009,@alix_says I'm going to miss freshman year... ,"['im', 'going', 'to', 'miss', 'freshman', 'year']"
1,Sun May 31 04:09:06 2009,@domkoenig nice pic - like your shirt! ,"['nice', 'pic', 'like', 'your', 'shirt']"
0,Wed Jun 17 00:06:45 2009,@mykiaisosm omj ur bad and mean i should not have meet u in 2nd grade even thouggh we hated each other i should have stayed like that ,"['om', 'ur', 'bad', 'and', 'mean', 'i', 'should', 'not', 'have', 'meet', 'u', 'in', 'grade', 'even', 'though', 'we', 'hated', 'each', 'other', 'i', 'should', 'have', 'stayed', 'like', 'that']"
1,Wed Jun 03 02:40:39 2009,"@Cyberela When it is Ã¼ber-succesful, it is called &quot;a Classic&quot; ","['when', 'it', 'is', 'Ã', 'bersuccesful', 'it', 'is', 'called', 'a', 'classic']"
1,Sat May 02 02:26:10 2009,"Bathroom is sparkling btw ..... Been up since 7, that's gotta be wrong  right, next...","['bathroom', 'is', 'sparkling', 'btw', 'been', 'up', 'since', 'thats', 'gotta', 'be', 'wrong', 'right', 'next']"
0,Fri Jun 19 22:24:56 2009,@Sally_That_Girl poor L!  ,"['poor', 'l']"
0,Sat Jun 20 06:03:20 2009,So sleepy!!  I hate 8am CASB ,"['so', 'sleepy', 'i', 'hate', 'case']"
1,Fri May 29 21:29:53 2009,@spencerpratt is cool ,"['is', 'cool']"
0,Sun Apr 19 01:47:25 2009,Work time   http://twitpic.com/3l589,"['work', 'time']"
1,Mon Jun 15 04:25:56 2009,eating chocolate with brydie  x,"['eating', 'chocolate', 'with', 'bridge', 'x']"
0,Sun Apr 19 11:00:18 2009,Moz cancelled again!  Poor Akila. ,"['moz', 'cancelled', 'again', 'poor', 'kill']"
0,Sun Jun 07 20:30:43 2009, i missed the game,"['i', 'missed', 'the', 'game']"
0,Fri Jun 05 14:37:22 2009,"@marginatasnaily yeah, used to have them loads...hadn't had them for ages until tonight though it seems. scarey  xxx","['yeah', 'used', 'to', 'have', 'them', 'loadshadnt', 'had', 'them', 'for', 'ages', 'until', 'tonight', 'though', 'it', 'seems', 'scare', 'xxx']"
0,Mon Jun 01 07:05:54 2009,Finally back at work! What a wasted week that was ,"['finally', 'back', 'at', 'work', 'what', 'a', 'wasted', 'week', 'that', 'was']"
1,Fri Jun 05 16:22:18 2009,i got a webcam ,"['i', 'got', 'a', 'webcam']"
0,Thu Jun 18 11:53:16 2009,Off to watch a student play... back at 9:30. No phone to tweet from. ,"['off', 'to', 'watch', 'a', 'student', 'play', 'back', 'at', 'no', 'phone', 'to', 'tweet', 'from']"
0,Thu Jun 18 08:49:09 2009,has been craving for junk food... ,"['has', 'been', 'craving', 'for', 'junk', 'food']"
1,Wed Jun 03 05:56:47 2009,@Bossmobb Goodmorning to U n Goodnite I'm goin to bed. ,"['goodmorning', 'to', 'u', 'n', 'goodnite', 'im', 'going', 'to', 'bed']"
0,Fri May 29 22:35:37 2009,@NewerDeal I have a pedometer and Nintendo DS but I didn't think about mentioning them ,"['i', 'have', 'a', 'perimeter', 'and', 'nintendo', 'ds', 'but', 'i', 'didnt', 'think', 'about', 'mentioning', 'them']"
0,Tue Apr 07 07:10:16 2009,Cat has an appt this afternoon at 3:45. She ate a little this morning. She's hiding right now. I'm worried. ,"['cat', 'has', 'an', 'apps', 'this', 'afternoon', 'at', 'she', 'ate', 'a', 'little', 'this', 'morning', 'shes', 'hiding', 'right', 'now', 'im', 'worried']"
0,Fri Jun 05 19:18:57 2009,I effed up my stats ,"['i', 'effect', 'up', 'my', 'stats']"
0,Fri Jun 05 12:41:43 2009,Scared of thunder and lightning.  Be careful Georgetta&lt;3,"['scared', 'of', 'thunder', 'and', 'lightning', 'be', 'careful', 'georgetta']"
1,Sun Jun 07 00:58:04 2009,Going to Rawon Nguling at Cikajang. Yum!! ,"['going', 'to', 'rayon', 'ruling', 'at', 'cikajang', 'yum']"
0,Fri Jun 05 15:32:39 2009,@meggles89 I miss your face!  When is Bonnaroo?,"['i', 'miss', 'your', 'face', 'when', 'is', 'bonnaroo']"
0,Tue Apr 07 08:45:22 2009,Stupid Twitter keeps telling me that it's 'over capacity' ,"['stupid', 'twitter', 'keeps', 'telling', 'me', 'that', 'its', 'over', 'capacity']"
0,Sat Jun 06 11:40:38 2009,at work and completely bored!! blah! I need a hug. ,"['at', 'work', 'and', 'completely', 'bored', 'blah', 'i', 'need', 'a', 'hug']"
1,Sun Apr 19 12:16:04 2009,&quot;I wanna wake up where you are&quot; I love the Goo Goo Dolls  ? http://blip.fm/~4lfcc,"['i', 'wanna', 'wake', 'up', 'where', 'you', 'are', 'i', 'love', 'the', 'goo', 'goo', 'dolls']"
0,Mon Jun 01 21:26:47 2009,Everyone has been grumpy in the Guillot house tonight. Including me.  now I'm still up sulking about it.,"['everyone', 'has', 'been', 'grumpy', 'in', 'the', 'guilt', 'house', 'tonight', 'including', 'me', 'now', 'im', 'still', 'up', 'sucking', 'about', 'it']"
0,Sun May 17 11:23:59 2009,@ferrite Dave! I don't think you guys ever got my rsvp! ,"['dave', 'i', 'dont', 'think', 'you', 'guys', 'ever', 'got', 'my', 'sup']"
0,Mon Jun 22 11:51:21 2009,dr office... hopefully finding out why i've been so sick  it's so hard to keep my eyes open,"['dr', 'office', 'hopefully', 'finding', 'out', 'why', 'ive', 'been', 'so', 'sick', 'its', 'so', 'hard', 'to', 'keep', 'my', 'eyes', 'open']"
1,Sat Jun 06 21:37:05 2009,@cmrush niiice i love asuka...esp on weekdays they have GREAT sushi rolls for super cheap!  hope youre having a great weekend!!!,"['notice', 'i', 'love', 'asukaesp', 'on', 'weekdays', 'they', 'have', 'great', 'sushi', 'rolls', 'for', 'super', 'cheap', 'hope', 'youre', 'having', 'a', 'great', 'weekend']"
1,Sat May 30 16:52:13 2009,@nachojohnny ilove it too!! - think ive seen every episode possible.  ; how bout you ?? ..,"['love', 'it', 'too', 'think', 'ive', 'seen', 'every', 'episode', 'possible', 'how', 'bout', 'you']"
1,Sun Jun 07 20:09:08 2009,"@teambudd1 Hahaha was that a funny reply? Hahaha Just saying, she is from Kansas and all. She can appreciate that. ","['haha', 'was', 'that', 'a', 'funny', 'reply', 'haha', 'just', 'saying', 'she', 'is', 'from', 'kansas', 'and', 'all', 'she', 'can', 'appreciate', 'that']"
0,Mon Jun 22 19:08:13 2009,"@karon I just saw two, but they were small ","['i', 'just', 'saw', 'two', 'but', 'they', 'were', 'small']"
0,Wed Jun 17 21:27:01 2009,i feel like death...my next investment?going to the spa! i need a new body that can function  (via @IngaDurgin)i herd sleep is good 4 dat,"['i', 'feel', 'like', 'death', 'next', 'investmentgoing', 'to', 'the', 'spa', 'i', 'need', 'a', 'new', 'body', 'that', 'can', 'function', 'via', 'i', 'herd', 'sleep', 'is', 'good', 'dat']"
1,Sat Jun 06 16:02:52 2009,"Goodnight everybody. See u tomorrow night or monday.  Ciao, my friends. xo  -a","['goodnight', 'everybody', 'see', 'u', 'tomorrow', 'night', 'or', 'monday', 'cia', 'my', 'friends', 'xo', 'a']"
1,Sun May 03 09:11:35 2009,"Alright, now that I finally woke my ass up late as usual....it's coffee and green time! The best part of waking up.  Yeah I'm a dork.","['alright', 'now', 'that', 'i', 'finally', 'woke', 'my', 'ass', 'up', 'late', 'as', 'usualits', 'coffee', 'and', 'green', 'time', 'the', 'best', 'part', 'of', 'waking', 'up', 'yeah', 'im', 'a', 'work']"
0,Sat May 02 05:27:27 2009,Im bored  just trying to figure out all the profiles ive made on the net but cannot remember a bit brain dead at the moment ,"['im', 'bored', 'just', 'trying', 'to', 'figure', 'out', 'all', 'the', 'profiles', 'ive', 'made', 'on', 'the', 'net', 'but', 'cannot', 'remember', 'a', 'bit', 'brain', 'dead', 'at', 'the', 'moment']"
0,Sun Jun 07 03:45:01 2009,@OfficialAS fair enough  I'll slap your vis comm teachers face? KK?! lmao but THURSDAY THURSDAY THURSDAY!,"['fair', 'enough', 'ill', 'slap', 'your', 'vis', 'comm', 'teachers', 'face', 'kk', 'lmaz', 'but', 'thursday', 'thursday', 'thursday']"
1,Sun Jun 07 13:17:29 2009,yesterday was fantastic!  saw my fam. from Oregon.. I missed them soo much!,"['yesterday', 'was', 'fantastic', 'saw', 'my', 'fam', 'from', 'oregon', 'i', 'missed', 'them', 'soo', 'much']"
1,Sun May 10 07:28:43 2009,@mrskutcher in Poland Mothers Day is on 26th May. ,"['in', 'poland', 'mothers', 'day', 'is', 'on', 'may']"
1,Wed Jun 03 07:36:20 2009,@EastCoastGamblr I like it!  It's how I feel today.,"['i', 'like', 'it', 'its', 'how', 'i', 'feel', 'today']"
1,Mon Jun 01 16:46:50 2009,LydiaStack @mitchelmusso when is the Australian relese? do you know? please write back ,"['lydiastack', 'when', 'is', 'the', 'australian', 'release', 'do', 'you', 'know', 'please', 'write', 'back']"
1,Mon Jun 01 01:58:09 2009,now etf ,"['now', 'et']"
0,Mon Jun 15 00:53:38 2009,Back to work ,"['back', 'to', 'work']"
1,Sun May 31 08:01:04 2009,Beach day. Headed down with the cats to listen to the Yankees game and get the place cleaned up. And maybe read a little ,"['beach', 'day', 'headed', 'down', 'with', 'the', 'cats', 'to', 'listen', 'to', 'the', 'yankees', 'game', 'and', 'get', 'the', 'place', 'cleaned', 'up', 'and', 'maybe', 'read', 'a', 'little']"
0,Mon Jun 15 01:26:04 2009,"Pulled out my oboe after a full year, &amp; definitely no longer at symphony level. I must remedy this at once! ...ow. My lips hurt now ","['pulled', 'out', 'my', 'oboe', 'after', 'a', 'full', 'year', 'definitely', 'no', 'longer', 'at', 'symphony', 'level', 'i', 'must', 'remedy', 'this', 'at', 'once', 'ow', 'my', 'lips', 'hurt', 'now']"
1,Sun Jun 07 05:01:00 2009,@nessie_111 f1 today?Oh well the world cup's really diverted all my attention. ,"['today', 'well', 'the', 'world', 'cups', 'really', 'diverted', 'all', 'my', 'attention']"
0,Fri May 29 22:26:48 2009,"@The_Gov poop, forgot about that ","['poop', 'forgot', 'about', 'that']"
1,Wed Jun 03 01:02:12 2009,"my package arrived, cheryl gave me more xiaomantous and the book I ordered with her. yay ","['my', 'package', 'arrived', 'cheryl', 'gave', 'me', 'more', 'xiaomantous', 'and', 'the', 'book', 'i', 'ordered', 'with', 'her', 'yay']"
1,Sun May 31 01:52:00 2009,"@nakulshenoy Lol, that and &quot;twiiter killed the blogger&quot; are far apart. Btw, what is &quot;blogging in the traditional sense&quot; may i know? ","['lol', 'that', 'and', 'twitter', 'killed', 'the', 'blogger', 'are', 'far', 'apart', 'btw', 'what', 'is', 'blogging', 'in', 'the', 'traditional', 'sense', 'may', 'i', 'know']"
0,Sat Jun 06 20:20:00 2009,the test was not good  Probably going to get torrent!,"['the', 'test', 'was', 'not', 'good', 'probably', 'going', 'to', 'get', 'torrent']"
1,Sun May 31 04:12:36 2009,@jeddimkins bahahah id advertise it with fat people ,"['bahahah', 'id', 'advertise', 'it', 'with', 'fat', 'people']"
0,Mon Jun 01 17:03:11 2009,is trying to be amusing. I canât make you laugh can I ,"['is', 'trying', 'to', 'be', 'amusing', 'i', 'canâ', 't', 'make', 'you', 'laugh', 'can', 'i']"
1,Sun May 10 08:08:55 2009,"@DannyMcEvoy haha! Leave Hull alone! Yeah, i'm doing it now mate ","['haha', 'leave', 'hull', 'alone', 'yeah', 'im', 'doing', 'it', 'now', 'mate']"
1,Sun Jun 07 02:16:11 2009,good morning   Ugh i have to clean up my room -.-,"['good', 'morning', 'gh', 'i', 'have', 'to', 'clean', 'up', 'my', 'room']"
0,Fri Jun 19 22:03:01 2009,"@uyennguyen_ NO! i wanted to  i was so upset the day of it, did you? ","['no', 'i', 'wanted', 'to', 'i', 'was', 'so', 'upset', 'the', 'day', 'of', 'it', 'did', 'you']"
1,Mon Jun 15 09:24:04 2009,"I've decided to run the laptop off the battery not the power cord, in case there's a power surge. Stormy ","['ive', 'decided', 'to', 'run', 'the', 'laptop', 'off', 'the', 'battery', 'not', 'the', 'power', 'cord', 'in', 'case', 'theres', 'a', 'power', 'surge', 'stormy']"
1,Sun Jun 07 12:30:11 2009,hey.... someones happy  someone aka me!,"['hey', 'someone', 'happy', 'someone', 'aka', 'me']"
0,Sat May 30 13:22:18 2009,On no my fear has come back!!  no ride for me...,"['on', 'no', 'my', 'fear', 'has', 'come', 'back', 'no', 'ride', 'for', 'me']"
0,Sun May 03 22:11:04 2009,@Peace_P so i knocked on your door to see if you wanted to go to KFC with me but I guess you were sleeping  lol,"['so', 'i', 'knocked', 'on', 'your', 'door', 'to', 'see', 'if', 'you', 'wanted', 'to', 'go', 'to', 'kfc', 'with', 'me', 'but', 'i', 'guess', 'you', 'were', 'sleeping', 'lol']"
0,Sun Jun 07 19:18:28 2009,"@markvanbaale No, I didn't see anything -- watched for awhile earlier this evening but then had to get back to deadlines. ","['no', 'i', 'didnt', 'see', 'anything', 'watched', 'for', 'awhile', 'earlier', 'this', 'evening', 'but', 'then', 'had', 'to', 'get', 'back', 'to', 'deadlines']"
1,Fri May 29 15:03:27 2009,"@Courtney_182 Well if you're breaking out the vodka, I'll have a lemon drop ","['well', 'if', 'youre', 'breaking', 'out', 'the', 'vodka', 'ill', 'have', 'a', 'lemon', 'drop']"
1,Sat Jun 06 09:38:48 2009,"grad. party, work 12-4, out with seth after...i love summer ","['grad', 'party', 'work', 'out', 'with', 'seth', 'after', 'love', 'summer']"
0,Tue Jun 23 10:19:19 2009,Really needs to start tanning the RIGHT arm ONLY from now on!!! Ugh! My left arm is SO dark from driving ,"['really', 'needs', 'to', 'start', 'tanning', 'the', 'right', 'arm', 'only', 'from', 'now', 'on', 'gh', 'my', 'left', 'arm', 'is', 'so', 'dark', 'from', 'driving']"
0,Tue Apr 07 01:50:44 2009,Is waiting for the scrappers to come to pick up his old Saab ,"['is', 'waiting', 'for', 'the', 'scrapped', 'to', 'come', 'to', 'pick', 'up', 'his', 'old', 'aab']"
0,Mon May 18 07:40:23 2009,"Went to bed physically in pain, work up sicker then I've been in years...coffee ","['went', 'to', 'bed', 'physically', 'in', 'pain', 'work', 'up', 'kicker', 'then', 'ive', 'been', 'in', 'yearscoffee']"
0,Wed Jun 17 14:55:37 2009,Traffic is moving at snail's pace on Queen Street East. Streetcar moved one block in 10 minutes from University to York. ,"['traffic', 'is', 'moving', 'at', 'snails', 'pace', 'on', 'queen', 'street', 'east', 'streetcar', 'moved', 'one', 'block', 'in', 'minutes', 'from', 'university', 'to', 'york']"
1,Sat May 30 22:39:19 2009,@DavidArchie did they make you sing a song on stage? what song? &amp; glad you had fun ,"['did', 'they', 'make', 'you', 'sing', 'a', 'song', 'on', 'stage', 'what', 'song', 'glad', 'you', 'had', 'fun']"
0,Mon Jun 01 13:48:15 2009,"My web server is down again - very, very sorry for the inconvenience. Time to start shopping for a new host I guess ","['my', 'web', 'server', 'is', 'down', 'again', 'very', 'very', 'sorry', 'for', 'the', 'inconvenience', 'time', 'to', 'start', 'shopping', 'for', 'a', 'new', 'host', 'i', 'guess']"
1,Sun May 31 15:47:54 2009,@Smithycurt NOBBBBBYYY NOBBY NOB ROTTY  ,"['nobbbbbyyy', 'lobby', 'not', 'route']"
0,Fri May 29 19:22:10 2009,tweetdeck stopped working on me  bahh,"['tweetdeck', 'stopped', 'working', 'on', 'me', 'bath']"
1,Sat May 09 21:21:43 2009,The hair looks sicckkkk.  Happy mothers day to all the mothers!,"['the', 'hair', 'looks', 'sicckkkk', 'happy', 'mothers', 'day', 'to', 'all', 'the', 'mothers']"
0,Thu Jun 18 14:36:22 2009,Stephanie Pratt Tells MTV News &quot;The Hills' Did Not Make Me Bulimic&quot; http://bit.ly/n4wL4 BETTER but still &gt; half the story is missing ,"['stephanie', 'pratt', 'tells', 'mtv', 'news', 'the', 'hills', 'did', 'not', 'make', 'me', 'bulimic', 'better', 'but', 'still', 'gt', 'half', 'the', 'story', 'is', 'missing']"
0,Mon May 18 06:20:12 2009,Where the hell did the weekend go??one second it was Friday and then i woke up to Monday.. sad sad sad state of afairs.. ,"['where', 'the', 'hell', 'did', 'the', 'weekend', 'gone', 'second', 'it', 'was', 'friday', 'and', 'then', 'i', 'woke', 'up', 'to', 'monday', 'sad', 'sad', 'sad', 'state', 'of', 'affairs']"
0,Mon Jun 15 02:20:19 2009,"So, #TweetDeck was updated to fix a crash, to do so they removed the minimize to systray, which totally blows ","['so', 'tweetdeck', 'was', 'updated', 'to', 'fix', 'a', 'crash', 'to', 'do', 'so', 'they', 'removed', 'the', 'minimize', 'to', 'stray', 'which', 'totally', 'blows']"
0,Sat Jun 20 22:03:43 2009,@Fashionsourcing Thanks for the invite!! I am swamped so I won't be able to make it.  Who is leaving? Hopefully not you.,"['thanks', 'for', 'the', 'invite', 'i', 'am', 'swamped', 'so', 'i', 'wont', 'be', 'able', 'to', 'make', 'it', 'who', 'is', 'leaving', 'hopefully', 'not', 'you']"
0,Tue Jun 16 20:59:33 2009,Really Tired Man ,"['really', 'tired', 'man']"
0,Sat Jun 20 06:25:36 2009,lounging about.... got a sore head ,"['longing', 'about', 'got', 'a', 'sore', 'head']"
0,Wed Jun 17 02:31:55 2009,@alexispratsides thanks. lol. sadly I am 31!! waaahhhhh ,"['thanks', 'lol', 'sadly', 'i', 'am', 'waaahhhhh']"
1,Sun Jun 07 15:26:08 2009,Bye everyone ,"['bye', 'everyone']"
0,Sun May 03 16:22:27 2009,studin have a test tomorrow ,"['studio', 'have', 'a', 'test', 'tomorrow']"
1,Mon May 18 06:09:59 2009,"NGL, Finishing that Effy/Emily fic where THEY GOT A PUPPY AND ARE IN SO MUCH LOVE ITS RIDICULOUS completely made my night. I'm ecstatic! ","['ngl', 'finishing', 'that', 'effyemily', 'fic', 'where', 'they', 'got', 'a', 'puppy', 'and', 'are', 'in', 'so', 'much', 'love', 'its', 'ridiculous', 'completely', 'made', 'my', 'night', 'im', 'ecstatic']"
1,Mon Jun 01 20:31:06 2009,"ROTFLMAO http://bit.ly/rwoHR   &quot;Muthu Kodi Kawadi Hada&quot; is tamil for &quot;Muthu, would u come for bath&quot; ... WTF! ","['rotflmao', 'math', 'koda', 'hawaii', 'had', 'is', 'tamil', 'for', 'math', 'would', 'u', 'come', 'for', 'bath', 'wtf']"
0,Thu Jun 18 18:13:29 2009,"hmm had to make a choice, decided to go to the Food Inc. reception and screening instead of hanging out at the #SCGeek dinner ","['hmm', 'had', 'to', 'make', 'a', 'choice', 'decided', 'to', 'go', 'to', 'the', 'food', 'inc', 'reception', 'and', 'screening', 'instead', 'of', 'hanging', 'out', 'at', 'the', 'screen', 'dinner']"
0,Mon May 18 06:10:20 2009,"tyrone  thanks for making my years at the golf course unforgettable, RIP","['throne', 'thanks', 'for', 'making', 'my', 'years', 'at', 'the', 'golf', 'course', 'unforgettable', 'rip']"
1,Sun Apr 19 00:12:46 2009,@chuckiem Good night ,"['good', 'night']"
0,Mon Jun 22 15:55:38 2009,Dmv physical exam for shuttle job ,"['div', 'physical', 'exam', 'for', 'shuttle', 'job']"
1,Mon May 18 08:04:25 2009,off to play golf with my wonderful husband who took the day off...kids still in school ,"['off', 'to', 'play', 'golf', 'with', 'my', 'wonderful', 'husband', 'who', 'took', 'the', 'day', 'offside', 'still', 'in', 'school']"
1,Sun May 31 10:15:41 2009,@MicheleKnight Awww Picasso is too cute! ,"['www', 'picasso', 'is', 'too', 'cute']"
0,Tue May 26 21:12:30 2009,shower/smoke/no time for razzle dazzle ,"['showersmokeno', 'time', 'for', 'puzzle', 'puzzle']"
0,Sun Jun 21 05:09:42 2009,I want Chinese for tea! Yet another leaflet came in through the mail slot a minute ago. Luton is really looking like a fast food haven ,"['i', 'want', 'chinese', 'for', 'tea', 'yet', 'another', 'leaflet', 'came', 'in', 'through', 'the', 'mail', 'slot', 'a', 'minute', 'ago', 'luton', 'is', 'really', 'looking', 'like', 'a', 'fast', 'food', 'haven']"
0,Sun Jun 07 08:01:11 2009,Go away wasps ,"['go', 'away', 'wasps']"
1,Fri Jun 05 21:16:37 2009,"@jacdo Hey, Jacks, I was looking for a cool food place. Any suggestions?  *runs and hides*","['hey', 'jacks', 'i', 'was', 'looking', 'for', 'a', 'cool', 'food', 'place', 'any', 'suggestions', 'runs', 'and', 'hides']"
0,Mon Jun 01 20:41:08 2009,love it! Andy Richter is back! but what about Joel?  ,"['love', 'it', 'andy', 'richter', 'is', 'back', 'but', 'what', 'about', 'joel']"
1,Sun May 31 09:15:25 2009,"@Dj_SportsChick you are going to soo love it when Pink sings Glitter in the Air during her show, soo amazing and beautiful ","['you', 'are', 'going', 'to', 'soo', 'love', 'it', 'when', 'pink', 'sings', 'glitter', 'in', 'the', 'air', 'during', 'her', 'show', 'soo', 'amazing', 'and', 'beautiful']"
0,Fri May 29 12:53:52 2009,watching Army Wives and it always makes me cry ,"['watching', 'army', 'wives', 'and', 'it', 'always', 'makes', 'me', 'cry']"
0,Fri May 29 17:46:59 2009,"@johnny_trouble Ive been dealing with roomate CRAP, aside from that, nothing, cleaning ALOT and I will!! I miss abi  How have you been?","['ive', 'been', 'dealing', 'with', 'roommate', 'crap', 'aside', 'from', 'that', 'nothing', 'cleaning', 'alot', 'and', 'i', 'will', 'i', 'miss', 'abi', 'how', 'have', 'you', 'been']"
1,Sun May 31 00:05:57 2009,just got pulled over by nevada state popos!! its quite grand ,"['just', 'got', 'pulled', 'over', 'by', 'nevada', 'state', 'pops', 'its', 'quite', 'grand']"
